,地块编号,宗地位置,地块面积（平方米）,用途,成交价格（万元）,受让单位
0,登政出〔2019〕40号（网）,21463.80（32.20亩）,登封市告成镇五渡村,工业,1075.38,河南豫科光学科技股份有限公司
1,登政出〔2019〕19号（网）,60654.76（90.98亩）,登封市玉带路与卢鸿路交叉口西南角,城镇住宅,23845.858,登封市盛康置业有限公司
2,登政出〔2019〕21号（网）,69901.14（104.85亩）,登封市郑少洛高速以南、嵩阳路以东、菜园路以西,城镇住宅,/,/
3,登政出〔2019〕23号（网）,41543.06（62.31亩）,登封市少林大道与卢鸿路交叉口东北角,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,/,/
4,登政出〔2019〕24号（网）,22191.49（33.29亩）,登封市玉带路与太和路交叉口西南角,城镇住宅,/,/
5,登政出〔2019〕40号（网）,21463.80（32.20亩）,登封市告成镇五渡村,工业,/,/
6,登政出〔2019〕25号（网）,15343.25（23.01亩）,登封市少林大道与太和路交叉口西北,商服（零售商业、批发市场、餐饮、旅馆）,3704.61,河南嵩基房地产有限公司
7,登政出〔2019〕39号（网）,120872.88（181.31亩）,登封市颍河路以南、环山旅游公路以东、南环二路以北,娱乐兼容商服（零售商业、批发市场、餐饮、旅馆）,/,/
8,登政出〔2019〕37号（网）,29631.55（44.45亩）,登封市太室路与环岛路交叉口西南,商服（零售商业、批发市场、餐饮、旅馆）,5911.85,河南正弘中岳实业有限公司
9,登政出〔2019〕38号（网）,25093.44（37.64亩）,登封市大金店镇人民路与紫楠街东南角,工业,790.44,登封嵩峰建材有限公司
10,登政出〔2019〕9号（网）,40773.47（61.16亩）,登封市地中路与忠义路交叉口东南,城镇住宅,14678.4,河南正商中岳置业有限公司
11,登政出〔2019〕19号（网）,60654.76（90.98亩）,登封市玉带路与卢鸿路交叉口西南角,城镇住宅,/,/
12,登政出〔2019〕8号（网）,37576.54（56.36亩）,登封市颍河路东段南侧、南环二路以北,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,/,/
13,登政出〔2019〕17号（网）,64069.97（96.11亩）,登封市碧溪路与南环二路交叉口东南角,城镇住宅,18837.56,登封市天中实业有限公司
14,登政出〔2019〕31号（网）,77561.14（116.34亩）,登封市东华镇颍河路与滨河南路东南侧,工业,2446.37,郑州登电科诚新材料有限公司
15,登政出〔2019〕32号（网）,11581.23（17.37亩）,登封市石道乡隐士沟水库西,工业,364.77,登封市君鑫煤业有限责任公司
16,登政出〔2019〕33号（网）,3188.13（4.78亩）,登封市石道乡隐士沟水库北,工业,100.38,登封市君鑫煤业有限责任公司
17,登政出〔2019〕34号（网）,14878.91（22.32亩）,登封市告成镇王家门村S237东侧,工业,446.4,登电集团新玉煤矿有限公司
18,登政出〔2019〕26号（网）,36887.26（55.33亩）,登封市大冶镇市场路与健康路交叉口东南角,商服（零售商业、批发市场、餐饮、旅馆）,/,/
