,地块编号,宗地位置,地块面积（平方米）,用途,限高,容积率,起始价格（万元）
0,郑政东出〔2020〕16号（网）,圃田北路南、嘉苑路东,地上：19252.56地下空间：19166.93,地上：商服用地地下空间：零售商业、批发市场、餐饮、旅馆、交通服务场站用地,详见规划设计条件通知书,＜5.53,27700
1,郑政高出〔2020〕 1号（网）,站北路北、新荣路东,52644.37,城镇住宅用地（地下交通服务场站用地）,＜100,＞1.1，＜4.0,69279
2,郑政高出〔2020〕2号（网）,站北路南、凯旋路东,62142.31,城镇住宅用地（地下交通服务场站用地）,＜100,＞1.1，＜3.6,79291
3,郑政出〔2020〕7号（网）,太白路南、紫辰路东,118180.42,城镇住宅（地下交通服务场站用地）,＜100,＞1.1，＜3.4,146161
4,郑政出〔2020〕8号（网）,中原西路南、杭州路西,21358.69,商务金融、零售商业、批发市场、餐饮、旅馆（地下交通服务场站用地）,＜100,＜4,26037
5,郑政出〔2020〕9号（网）,百泉路北、杭州路西,32188.91,城镇住宅（地下交通服务场站用地）,＜80,＞1.0，＜3.0,35685
6,郑政东出〔2020〕1号（网）,白沙园区云松路东、云溪北路南、西科路西、西秀路北,地上：53261.33地下：53261.33,地上：城镇住宅用地、商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地、城镇村道路用地地下：交通服务场站用地,详见规划设计条件通知书,＜2.084,49681
7,郑政东出〔2020〕2号（网）,白沙园区云松路东、西秀路南、西康路西,地上：47083.31地下：47083.31,地上：商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地、文化设施用地、体育用地、医疗卫生用地、城镇住宅用地、城镇村道路用地地下：交通服务场站用地,详见规划设计条件通知书,＜1.837,38252
8,郑政东出〔2020〕3号（网）,白沙园区尚清路南、西科路西,地上：8323.17地下：8323.17,地上：商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地地下：交通服务场站用地,＜24,＜1.5,4252
9,郑政东出〔2020〕4号（网）,白沙园区尚清路北、西秀路南、西康路东、西科路西,地上：18288.94地下：18288.94,地上：商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地地下：交通服务场站用地,＜24,＜1.8,9596
10,郑政东出〔2020〕5号（网）,白沙园区西科路东、云溪北,地上：23048.13地下：23048.13,地上：零售商业、批发市场、餐饮、旅馆用地地下：交通服务场站用地,＜60,＜1.8,12355
11,郑政东出〔2020〕6号（网）,白沙园区东科路西、云溪北,地上：13406.05地下：13406.05,地上：零售商业、批发市场、餐饮、旅馆用地兼容商务金融用地地下：交通服务场站用地,＜50,＜1.4,6833
12,郑政东出〔2020〕7号（网）,白沙园区云溪北路南、西科路东、西秀路北、翠晖路西,地上：24103.20地下：24103.20,地上：城镇住宅用地、零售商业、批发市场、餐饮、旅馆用地地下：交通服务场站用地,详见规划设计条件通知书,＜2.578,26623
13,郑政东出〔2020〕8号（网）,白沙园区云溪北路南、翠晖路东、秀中路北、东科路西,地上：26502.39地下：26502.39,地上：零售商业、批发市场、餐饮、旅馆用地、城镇住宅用地；地下：交通服务场站用地,详见规划设计条件通知书,＜2.591,29623
14,郑政东出〔2020〕9号（网）,白沙园区环科路围合地块,地上：17609.49地下：17609.49,地上：商务金融用地；地下：交通服务场站用地,＜120,＜4.0,10694
15,郑政东出〔2020〕10号（网）,白沙园区西秀路南、西科路东,地上：15972.16地下：15972.16,地上：商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地；地下：交通服务场站用地,＜24,＜1.5,8187
16,郑政东出〔2020〕11号（网）,白沙园区秀中路南、东科路西,地上：12540.38地下：12540.38,地上：商务金融用地；地下：交通服务场站用地,＜24,＜1.5,6348
17,郑政东出〔2020〕12号（网）,白沙园区云溪北路南、东科路东、东秀路北、云柏路西,地上：87143.76地下：87143.76,地上：商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地、城镇住宅用地、城镇村道路用地；地下：交通服务场站用地,详见规划设计条件通知书,＜2.082,78161
18,郑政东出〔2020〕13号（网）,白沙园区新科环路围合地块,地上：17155.97地下：17155.97,地上：教育用地；地下：交通服务场站用地,＜24,＜0.7,4948
19,郑政东出〔2020〕14号（网）,白沙园区东科路东、东秀路南、云柏路西,地上：63507.61地下：63507.61,地上：商务金融用地兼容零售商业、批发市场、餐饮、旅馆用地、城镇住宅用地、公园与绿地用地；地下：交通服务场站用地,详见规划设计条件通知书,＜1.571,51042
20,郑政东出〔2019〕12号（网）,龙湖中环东路东、南录庄街南,79579.35,地上：城镇住宅用地地下：交通服务场站用地,＜24,＜1.7＞1.0,216000
21,郑政出〔2020〕4号（网）,南四环辅道南、怡心路西,36765.27,城镇住宅、（地下空间用途交通服务场站）,＜80,＞1.0，＜3.2,40793
22,郑政出〔2020〕5号（网）,南四环辅道南、怡心路东,31886.31,城镇住宅、（地下空间用途交通服务场站）,＜80,＞1.0，＜3.0,34646
23,郑政出〔2020〕6号（网）,啟福大道南、南四环辅道西,31996.51,城镇住宅、（地下空间用途交通服务场站）,＜100,＞1.1，＜3.3,36263
24,郑政经开出[2019]022号（网）,经南十二路以北、经开第十八大街以东,24029.09,城镇住宅（地下交通服务场站用地）,＜100,＞1.0，＜2.5,45198
25,郑政经开出[2019]023号（网）,经南十二路以北、经开第十九大街以西,25558.46,城镇住宅（地下交通服务场站用地）,＜100,＞1.0，＜2.5,48066
26,牟政出〔2018〕233号（网）,白沙园区中原大道南、青年路北、枫林路西,地上：25277.19地下：25277.19,地上：城镇住宅用地地下：交通服务场站用地,＜80,＞1.0，＜2.8,21000
27,郑政高出〔2019〕 34号（网）,科学大道北、雪松路东,43753.34,商务金融兼容城镇住宅用地（地下交通服务场站用地）,＜180,＜4.5,54002
28,郑政高出〔2019〕35号,红梅街南、花柏路东,55037.94,工业用地（地下交通服务场站用地）,＜100,＞1.6,50（地下50）
29,郑政出〔2020〕1号（网）,北岗路南、支八路西,28880.66,城镇住宅（地下交通服务场站用地）,＜100,＞1.1，＜4.0,42717
30,郑政出〔2020〕2号（网）,西岗路南、湖西路西,16694.24,城镇住宅（地下交通服务场站用地）,＜100,＞1.1，＜4.2,25122
31,郑政出〔2020〕3号（网）,湖西路西、北岗路南,44426.7,城镇住宅（地下交通服务场站用地）,＜100,＞1.1，＜4.2,66717
32,郑政出〔2019〕98号（网）,百盛路东、豫一路北,34146.04,零售商业、餐饮、旅馆用地,＜60,＜3.0,36970
33,郑政东出〔2019〕15号（网）,圃田北路南、嘉苑路东,地上：19252.56地下空间：19166.93,地上：商服用地地下空间：零售商业、批发市场、餐饮、旅馆、交通服务场站用地,详见规划设计条件通知书,＜5.53,27700
34,牟政出〔2019〕231号（网）,贺庄路东、魏庄路南、铁牛路西、瑞佳路北,地上：137591.75地下空间：131060.86,地上：旅馆、其他商服、医疗卫生用地混合；地下空间：交通服务场站用地,详见规划设计条件通知书,＜1.905,74500
35,郑政出〔2019〕95号（网）,学院路东、安宁路南,45572.23,城镇住宅,＜80,"＞1.0,＜3",46582
36,郑政出〔2019〕96号（网）,盆刘南路北、乐平路西,19007.48,城镇住宅（地下交通服务场站用地）,＜80,"＞1.1,＜2.8",20447
37,郑政出〔2019〕97号（网）,秦岭路西、汝河路南,70406.25,城镇住宅用地兼容零售商业、餐饮、旅馆、商务金融用地（地下交通服务场站用地）,＜100,"＞1.1,＜4.2",121455
38,郑政出〔2019〕91号（网）,杓袁中一街西、杓袁北路南,81208.12,城镇住宅（地下交通服务场站用地）,＜56,＞1.1＜3,105142
