Column1,地块编号,宗地位置,地块面积（平方米）,用途,成交价格（万元）,受让单位
289,郑政经开出[2017]075号（网）,经南十一路南、经开第十七大街东,43056.16,城镇住宅、兼容批发零售、住宿餐饮,116400.0,金地集团武汉房地产开发有限公司
12,郑政经开出[2019]025号（网）,经开区经北三路以南、传媒路以西,30518.35,城镇住宅（地下交通服务场站用地）,89703.0,郑州保利亨利房地产开发有限公司
11,郑政经开出[2019]024号（网）,岔河西路以东、经北五路以南,43977.33,城镇住宅（地下交通服务场站用地）,128972.0,郑州保利亨利房地产开发有限公司
13,郑政经开出[2019]026号（网）,经北五路以北、传媒路以西,56105.82,城镇住宅（地下交通服务场站用地）,164667.0,北京润置商业运营管理有限公司
141,郑政东出[2018]27号（网）,北三环南、九如路东,43232.88,城镇住宅,168000.0,河南龙宇房地产开发有限公司
139,郑政东出[2018]25号（网）,九如东路东、如意河东二街南,64692.24,城镇住宅,252000.0,河南龙宇房地产开发有限公司
66,郑政东出[2019]5号（网）,龙湖中环南路北、九如东路东,27467.40,商务金融、零售商业、批发市场、餐饮、旅馆、其他商服用地,34100.0,北京德得创业科技有限公司
19,郑政东出〔2019〕14号（网）,龙湖内环南路南、众意西路东,55225.35,地上：城镇住宅用地地下：交通服务场站用地,221000.0,北京丰茂置业有限公司
94,郑政高出〔2019〕7号（网）,石楠路西、冬青街北,70151.91,城镇住宅（地下交通服务场站用地）,130460.0,北京龙湖置业有限公司
277,郑政东出〔2018〕08号,动力南路南、圃田西路东,22155.97,商服用地,26600.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
278,郑政东出〔2018〕09号,动力南路南、嘉园路东,25254.80,商服用地,32200.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
279,郑政东出〔2018〕10号,道东街北、圃田西路东,6372.58,商服用地,8700.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
280,郑政东出〔2018〕11号,道东街北、嘉园路西,7239.82,商服用地,9900.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
281,郑政东出〔2018〕12号,道东街北、嘉园路东,7239.84,商服用地,9900.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
282,郑政东出〔2018〕13号,商鼎路北、嘉园路西,16026.76,商服用地,26000.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
283,郑政东出〔2018〕14号,商鼎路北、嘉园路东,18992.83,商服用地,30900.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
284,郑政东出〔2018〕15号,商鼎路北、嘉园东三街东,8925.60,商服用地,14000.0,北京润置商业运营管理有限公司河南省郑州新区建设投资有限公司
209,郑政出〔2018〕124号（网）,东风路北、信息学院路西,4631.21,商务金融兼容零售商业、餐饮、旅馆,6790.0,河南安特瑞置业有限公司
155,郑政出[2018]178号（网）,凤凰路北、规划一路西,5900.12,城镇住宅（地下交通服务场站）,10352.0,河南博鼎实业有限公司
156,郑政出[2018]179号（网）,石化路南、未来路西,28492.52,城镇住宅（地下交通服务场站）,42091.0,河南博鼎实业有限公司
157,郑政出[2018]180号（网）,二里岗南街北、未来路西,4649.46,零售商业（加油加气站）,17137.0,河南博鼎实业有限公司
166,郑政出〔2018〕152号（网）,凤凰路南、未来路西,12109.45,城镇住宅（地下交通服务场站用地）,18789.0,河南博鼎实业有限公司
167,郑政出〔2018〕153号（网）,凤凰路南、规划三路东,23726.24,城镇住宅（地下交通服务场站用地）,37103.0,河南博鼎实业有限公司
168,郑政出〔2018〕154号（网）,未来路西、凤凰路北,10316,零售商业、餐饮、旅馆兼容城镇住宅（地下空间用途为交通服务场站）,17774.0,河南博鼎实业有限公司
201,郑政出[2018]129号（网）,凤凰路南、规划三路西,4094.89,城镇住宅,4929.0,河南博鼎实业有限公司
202,郑政出[2018]130号（网）,凤凰路南、规划一路西,3078.72,商务金融,3938.0,河南博鼎实业有限公司
